parameter_id,M-G-P_020_001_001
mouse_life_stage,E15.5
pvalue,0.9707808
analysis_id,d0qd3xox6cvr11c
mouse_strain,C57BL
parameter_name,Body Weight
gene_symbol,Fgb
gene_accession_id,MGI:99501
