parameter_name,Alanine aminotransferase
gene_symbol,Nucks1
analysis_id,84nzji2wm783nkr
gene_accession_id,MGI:1934811
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.6728299
parameter_id,IMPC_CBC_013_001
