parameter_name,Startle response
pvalue,0.9676761
analysis_id,c7q371d81hy3h83
gene_symbol,Ift74
gene_accession_id,MGI:1914944
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
mouse_strain,C57BL
