parameter_name,Red blood cell count
mouse_strain,C57BL
gene_accession_id,MGI:1913105
pvalue,0.2449052
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_002_001
analysis_id,142lkb4ob177aiv
gene_symbol,Slc28a2
