analysis_id,y1p8uis79dji9eq
mouse_strain,C57BL
parameter_id,MGP_IMM_130_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,CD11b-low cDC - % of CD45+
pvalue,0.5906078
mouse_life_stage,E9.5
