gene_symbol,Rab3gap2
parameter_id,IMPC_HEM_002_001
analysis_id,shu4ykw80c11381
mouse_life_stage,Early adult
pvalue,0.7441075
parameter_name,Red blood cell count
gene_accession_id,MGI:1916043
mouse_strain,C57BL
