gene_symbol,Tnni1
parameter_name,Startle response
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
analysis_id,y6j021y16p28c3u
pvalue,0.8739841
