gene_symbol,Lcn2
pvalue,0.3277364
mouse_strain,C57BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
analysis_id,azutw0e85655zx4
parameter_id,MGP_BMI_014_001
