gene_symbol,Bmp7
mouse_life_stage,Early adult
parameter_id,MGP_IMM_036_001
analysis_id,05j40228hpw9v1d
gene_accession_id,MGI:103302
pvalue,0.2088031
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
