parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
gene_symbol,Fpgs
parameter_name,T cells - % of CD45+
pvalue,0.546734
mouse_strain,C57BL
gene_accession_id,MGI:95576
analysis_id,8k9900c588v3278
