parameter_id,ICS_FEA_019_001
gene_accession_id,MGI:95457
parameter_name,% Freezing duration pre-cue-2
analysis_id,kf63mt40y024651
gene_symbol,Mecom
mouse_life_stage,Early adult
mouse_strain,C3H
pvalue,0.3609915
