analysis_id,912w1nf4i99h3j2
mouse_strain,C57BL
gene_symbol,Mapkap1
pvalue,0.6106656
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
parameter_id,MGP_IMM_094_001
