analysis_id,9vi69jbp9xsk2x4
parameter_id,IMPC_ACS_034_001
parameter_name,% Pre-pulse inhibition - PPI2
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
gene_symbol,Slc30a4
mouse_strain,C57BL
pvalue,0.6006177
