analysis_id,3yoo19s9f7330h1
mouse_life_stage,Early adult
gene_symbol,Psmd14
parameter_name,Pericardium Morphology
gene_accession_id,MGI:1913284
parameter_id,IMPC_GEL_006_001
pvalue,0.8927036
mouse_strain,C57BL
