gene_symbol,Bcs1l
pvalue,0.9599185
parameter_name,B1B Cells
gene_accession_id,MGI:1914071
analysis_id,v853zmo03624up0
parameter_id,IMPC_IMM_064_001
mouse_life_stage,E12.5
mouse_strain,C57BL
