parameter_id,IMPC_ACS_034_001
gene_symbol,RGS20
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
analysis_id,6n2l3q880a8h4yo
mouse_strain,C57BL
pvalue,0.7520897
