parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1917753
analysis_id,s7258ao058255h5
parameter_id,M-G-P_007_001_008
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
