parameter_name,Glucose
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
pvalue,0.9172405
gene_accession_id,MGI:1914515
gene_symbol,SLC39A10
analysis_id,4ms09irs97shj87
