parameter_name,Retina (combined)
pvalue,0.6335727
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
analysis_id,0q3qdzx74824i6f
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
