gene_symbol,Pglyrp3
analysis_id,y4tar84585011r0
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:2685266
parameter_name,Zygomatic bone
pvalue,0.9000783
