parameter_name,Sodium
gene_symbol,Bpifa3
analysis_id,w714078167r296p
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.513049
parameter_id,IMPC_CBC_001_001
gene_accession_id,MGI:1920638
