analysis_id,45m7p8gs662r380
mouse_strain,C57BL
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,Early adult
pvalue,0.6917932
parameter_id,MGP_IMM_013_001
gene_accession_id,MGI:1927232
gene_symbol,Rab13
