analysis_id,76sn1evc1e160st
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
pvalue,0.9226713
mouse_life_stage,Early adult
mouse_strain,C57BL
