analysis_id,6m46366u597o032
parameter_id,MGP_MLN_014_001
mouse_life_stage,E12.5
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Fgb
pvalue,0.4504338
gene_accession_id,MGI:99501
mouse_strain,C57BL
