analysis_id,dbhe8f41q6zq163
mouse_life_stage,Early adult
pvalue,0.8641825
mouse_strain,129SV
gene_accession_id,MGI:1921802
parameter_id,M-G-P_007_001_011
parameter_name,center - resting time
gene_symbol,Nipal3
