gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_id,HMGULA_DYS_024_001
parameter_name,Vibrissae - appearance
pvalue,0.155427
mouse_life_stage,E9.5
analysis_id,14cz4136f92wsw4
mouse_strain,C57BL
