analysis_id,h900l84id46ee72
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_name,Shape of ribcage
gene_symbol,Tiprl
parameter_id,IMPC_XRY_059_001
pvalue,0.9318235
