gene_symbol,Ilkap
parameter_id,IMPC_GEL_057_001
mouse_strain,C57BL
pvalue,0.6262868
mouse_life_stage,Early adult
parameter_name,Heart looping
analysis_id,yd8832c2u34y742
gene_accession_id,MGI:1914694
