analysis_id,c2541n0r97h9zz8
pvalue,2.020851e-07
parameter_name,Corneal opacity
gene_symbol,Stk35
mouse_strain,C57BL
gene_accession_id,MGI:1914583
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
