analysis_id,eyv76t4p7mh2d10
parameter_id,IMPC_EYE_059_001
parameter_name,Mean right eye lens density
pvalue,0.3225118
mouse_strain,C57BL
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
mouse_life_stage,Early adult
