analysis_id,i75m4s6sfi08h9e
mouse_strain,C57BL
gene_symbol,Ntmt2
pvalue,0.9139997
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
