parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
pvalue,0.368116
mouse_strain,C57BL
analysis_id,c818aq1c0p046hm
parameter_name,Breath rate during sleep mean
gene_symbol,Dhdds
