gene_symbol,Zmynd8
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
pvalue,0.8878727
analysis_id,4u8z90v8j8pb2xb
parameter_id,MGP_MLN_013_001
parameter_name,Effector CD8+ T cells - % of CD8+
