parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
analysis_id,e77p422kr87uiu7
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.8563296
mouse_life_stage,Early adult
