analysis_id,itzq75292988446
gene_accession_id,MGI:1913483
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.1686722
gene_symbol,Dmap1
mouse_life_stage,E9.5
parameter_id,MGP_MLN_013_001
mouse_strain,C57BL
