parameter_name,Snout size
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_028_001
pvalue,0.6993273
analysis_id,65he88a04d057sb
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
