analysis_id,f9q3y594qz2fk6h
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.06999356
gene_symbol,Lpgat1
parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
