parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1339969
parameter_name,Placenta Morphology
pvalue,0.8574
mouse_strain,C57BL
analysis_id,1126en41735540q
mouse_life_stage,Early adult
gene_symbol,Gja10
