pvalue,0.4520208
parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:2674093
analysis_id,0o811v33k547i8b
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Psd4
mouse_life_stage,Early adult
