analysis_id,lndkbl73n45k3xo
gene_accession_id,MGI:1919949
parameter_id,JAXLA_CSD_022_001
pvalue,0.7977819
mouse_strain,C57BL
gene_symbol,Lime1
parameter_name,Hindlimbs - size
mouse_life_stage,Early adult
