analysis_id,izyrar64u300f62
gene_accession_id,MGI:1914561
pvalue,0.7211397
parameter_id,MGP_MLN_074_001
gene_symbol,Nanp
mouse_life_stage,E18.5
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
