parameter_name,Neutrophils
gene_symbol,Ppm1j
mouse_life_stage,Early adult
pvalue,0.2337566
gene_accession_id,MGI:1919137
mouse_strain,C57BL
analysis_id,7g54oq8hd0zhnwf
parameter_id,IMPC_IMM_050_001
