gene_symbol,Tnni1
analysis_id,c2r137ec8444q8l
mouse_life_stage,Early adult
pvalue,0.993695
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
gene_accession_id,MGI:105073
parameter_id,IMPC_DXA_004_001
