parameter_name,Forebrain
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
gene_symbol,Duoxa2
pvalue,0.5166843
mouse_strain,C57BL
analysis_id,612mo28k129w8pm
parameter_id,IMPC_GEL_028_001
