parameter_name,Average duration
gene_symbol,Abo
mouse_life_stage,Early adult
analysis_id,o3zn6us5bx132d8
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:2135738
mouse_strain,C57BL
pvalue,0.9581954
