analysis_id,m620i2rwjd4tv77
pvalue,0.1955716
gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
parameter_name,Glucose
gene_accession_id,MGI:2446274
