gene_symbol,Ift74
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
pvalue,0.7297221
analysis_id,f1oh7mnadkc6le8
parameter_name,PQ
