gene_symbol,Maco1
gene_accession_id,MGI:1913396
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8314687
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,lz302160s6hlbem
