parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
parameter_name,CV
pvalue,0.7520362
analysis_id,qceln51akkxwuf7
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
mouse_strain,C57BL
