analysis_id,u4v517t26ctq3e8
pvalue,0.5383867
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Cdin1
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
