gene_symbol,Rgs20
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
pvalue,0.7412147
parameter_name,Tibia length
gene_accession_id,MGI:1929866
analysis_id,m269491itoeijgs
mouse_life_stage,Early adult
