analysis_id,3fg9c9ud415325f
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.6392374
mouse_strain,C57BL
gene_symbol,Inpp1
parameter_id,MGP_IMM_017_001
