parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
gene_symbol,Usp37
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
analysis_id,yo913ry8id04ur7
pvalue,0.07169075
