gene_symbol,Extl1
parameter_name,Center resting time
mouse_strain,C57BL
pvalue,0.7532852
parameter_id,JAX_OFD_015_001
gene_accession_id,MGI:1888742
analysis_id,2d051tv7fp8rgk7
mouse_life_stage,Early adult
