analysis_id,7t1f1w96k510333
pvalue,0.7011221
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell percentage
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,MGP_PBI_015_001
