analysis_id,9bxcth3745rl414
parameter_name,Center average speed
parameter_id,JAX_OFD_017_001
gene_accession_id,MGI:1917604
pvalue,0.6450648
mouse_strain,C57BL
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
