analysis_id,8gc1oug653p6666
gene_accession_id,MGI:1929866
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
pvalue,0.3127313
mouse_strain,C57BL
gene_symbol,Rgs20
