parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,n1v3fpf9kb396yq
pvalue,0.727964
gene_accession_id,MGI:2442483
gene_symbol,Usp37
parameter_id,HMGULA_CBC_016_001
