analysis_id,21t04b0g2321jo7
parameter_id,IMPC_HWT_008_001
pvalue,0.1390169
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
parameter_name,Heart weight
