analysis_id,alqoosn835e8i0q
pvalue,0.2034954
parameter_name,Neutrophils
mouse_strain,C57BL
gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
