gene_symbol,Amigo1
gene_accession_id,MGI:2653612
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
pvalue,0.6154214
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
analysis_id,k72pit394x14mq1
