analysis_id,t8b4165iwp0n677
gene_accession_id,MGI:1915472
pvalue,0.7375746
parameter_name,Creatinine
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
gene_symbol,Tubb4b
