mouse_strain,B6J
pvalue,0.2736369
parameter_id,IMPC_GEO_011_001
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_name,Blood Vessel Morphology
analysis_id,o4a70w8vc66l8o9
mouse_life_stage,Early adult
