analysis_id,486d6y2q90v4nw7
parameter_name,Hindpaw - size
mouse_strain,C57BL
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
gene_symbol,Sema6c
pvalue,0.4477871
parameter_id,JAXLA_CSD_041_002
